Nama Siswa;Prob_Auditori;Prob_Kinestetik;Prob_Visual;Prediksi
Gra*** Chr****** Per**** Her*****;0.0003;0.0014;0.9983;Visual
Gra*** Chr****** Per**** Her*****;0.0013;0.0028;0.9958;Visual
Gra*** Chr****** Per**** Her*****;0.0001;0.0;0.9999;Visual
Gra*** Chr****** Per**** Her*****;0.0;0.0;1.0;Visual
Gra*** Chr****** Per**** Her*****;0.0;0.0;1.0;Visual
Hum**** Hus*** Fal**;0.0508;0.9172;0.032;Kinestetik
Hum**** Hus*** Fal**;0.3003;0.6993;0.0004;Kinestetik
Hum**** Hus*** Fal**;0.0757;0.0528;0.8716;Visual
Hum**** Hus*** Fal**;0.0037;0.9658;0.0305;Kinestetik
Hum**** Hus*** Fal**;0.0757;0.0528;0.8716;Visual
Joa**** Sah*** Pun***;0.0084;0.9901;0.0015;Kinestetik
Joa**** Sah*** Pun***;0.0064;0.9935;0.0001;Kinestetik
Joa**** Sah*** Pun***;0.0054;0.0353;0.9593;Visual
Joa**** Sah*** Pun***;0.0044;0.2715;0.7241;Visual
Joa**** Sah*** Pun***;0.0054;0.0353;0.9593;Visual
Jov** Zak* Pra****;0.0026;0.9974;0.0;Kinestetik
Jov** Zak* Pra****;0.0033;0.9967;0.0;Kinestetik
Jov** Zak* Pra****;0.0063;0.982;0.0117;Kinestetik
Jov** Zak* Pra****;0.0192;0.7429;0.2379;Kinestetik
Jov** Zak* Pra****;0.0393;0.9573;0.0034;Kinestetik
Kea** Nab*** Abr****;0.0555;0.9442;0.0002;Kinestetik
Kea** Nab*** Abr****;0.1034;0.8944;0.0022;Kinestetik
Kea** Nab*** Abr****;0.0394;0.246;0.7145;Visual
Kea** Nab*** Abr****;0.0005;0.8907;0.1088;Kinestetik
Kea** Nab*** Abr****;0.0012;0.0109;0.9878;Visual
Kha*** Azz**** Dan*** Sar****;0.0855;0.881;0.0335;Kinestetik
Kha*** Azz**** Dan*** Sar****;0.1502;0.8347;0.0152;Kinestetik
Kha*** Azz**** Dan*** Sar****;0.2444;0.1654;0.5902;Visual
Kha*** Azz**** Dan*** Sar****;0.0123;0.2924;0.6953;Visual
Kha*** Azz**** Dan*** Sar****;0.0007;0.0007;0.9986;Visual
Kha*** Alm*** Mar**** Ram******;0.0133;0.986;0.0008;Kinestetik
Kha*** Alm*** Mar**** Ram******;0.0168;0.9832;0.0001;Kinestetik
Kha*** Alm*** Mar**** Ram******;0.0263;0.3513;0.6224;Visual
Kha*** Alm*** Mar**** Ram******;0.6193;0.3576;0.0232;Auditori
Kha*** Alm*** Mar**** Ram******;0.792;0.2029;0.0051;Auditori
Mag****** Wes**;0.0655;0.9307;0.0038;Kinestetik
Mag****** Wes**;0.082;0.9177;0.0003;Kinestetik
Mag****** Wes**;0.0005;0.3825;0.6171;Visual
Mag****** Wes**;0.0167;0.1249;0.8584;Visual
Mag****** Wes**;0.0018;0.0138;0.9844;Visual
Moh***** Riz** E** Wij***;0.0259;0.0774;0.8968;Visual
Moh***** Riz** E** Wij***;0.0864;0.1395;0.7741;Visual
Moh***** Riz** E** Wij***;0.0001;0.0;0.9999;Visual
Moh***** Riz** E** Wij***;0.0;0.0;0.9999;Visual
Moh***** Riz** E** Wij***;0.0;0.0005;0.9995;Visual
Muh***** Azk* Dza**;0.0088;0.9506;0.0406;Kinestetik
Muh***** Azk* Dza**;0.0339;0.966;0.0001;Kinestetik
Muh***** Azk* Dza**;0.0017;0.3136;0.6847;Visual
Muh***** Azk* Dza**;0.0165;0.3126;0.671;Visual
Muh***** Azk* Dza**;0.0016;0.2435;0.7548;Visual
Muh***** Fou** Fat**;0.6557;0.1762;0.1682;Auditori
Muh***** Fou** Fat**;0.3438;0.0769;0.5793;Visual
Muh***** Fou** Fat**;0.0492;0.0035;0.9473;Visual
Muh***** Fou** Fat**;0.0078;0.0;0.9922;Visual
Muh***** Fou** Fat**;0.0083;0.0001;0.9915;Visual
Muh***** Has** Dan******;0.0267;0.9733;0.0;Kinestetik
Muh***** Has** Dan******;0.0466;0.9529;0.0004;Kinestetik
Muh***** Has** Dan******;0.0079;0.6744;0.3178;Kinestetik
Muh***** Has** Dan******;0.3067;0.6387;0.0546;Kinestetik
Muh***** Has** Dan******;0.1301;0.1953;0.6746;Visual
Muh***** Nab** N** Has** Alk****;0.0;0.9985;0.0015;Kinestetik
Muh***** Nab** N** Has** Alk****;0.0;0.9998;0.0002;Kinestetik
Muh***** Nab** N** Has** Alk****;0.0;0.6303;0.3697;Kinestetik
Muh***** Nab** N** Has** Alk****;0.0;0.006;0.994;Visual
Muh***** Nab** N** Has** Alk****;0.0;0.3615;0.6385;Visual
Muh***** Z** Zur* Fat*********;0.584;0.4025;0.0136;Auditori
Muh***** Z** Zur* Fat*********;0.6593;0.3369;0.0038;Auditori
Muh***** Z** Zur* Fat*********;0.0928;0.1283;0.7789;Visual
Muh***** Z** Zur* Fat*********;0.2901;0.5047;0.2052;Kinestetik
Muh***** Z** Zur* Fat*********;0.0062;0.001;0.9928;Visual
Nab*** Alm*** Yof******;0.0411;0.9106;0.0483;Kinestetik
Nab*** Alm*** Yof******;0.0411;0.9106;0.0483;Kinestetik
Nab*** Alm*** Yof******;0.0004;0.0032;0.9964;Visual
Nab*** Alm*** Yof******;0.0009;0.0109;0.9881;Visual
Nab*** Alm*** Yof******;0.0009;0.0011;0.998;Visual
Nab*** Ram******;0.0046;0.9952;0.0002;Kinestetik
Nab*** Ram******;0.0038;0.996;0.0002;Kinestetik
Nab*** Ram******;0.0108;0.9076;0.0816;Kinestetik
Nab*** Ram******;0.003;0.6368;0.3602;Kinestetik
Nab*** Ram******;0.0007;0.7835;0.2158;Kinestetik
Nam** Que** Mut**** Sap*****;0.5611;0.3304;0.1085;Auditori
Nam** Que** Mut**** Sap*****;0.8013;0.1888;0.0099;Auditori
Nam** Que** Mut**** Sap*****;0.0166;0.1132;0.8703;Visual
Nam** Que** Mut**** Sap*****;0.0673;0.0205;0.9122;Visual
Nam** Que** Mut**** Sap*****;0.0046;0.0583;0.9371;Visual
Nau*** Ath**** May**;0.425;0.5696;0.0054;Kinestetik
Nau*** Ath**** May**;0.4809;0.5186;0.0004;Kinestetik
Nau*** Ath**** May**;0.0024;0.1346;0.863;Visual
Nau*** Ath**** May**;0.0046;0.0083;0.9871;Visual
Nau*** Ath**** May**;0.1235;0.0021;0.8744;Visual
Nau*** Iqb** Alb*******;0.1;0.8836;0.0164;Kinestetik
Nau*** Iqb** Alb*******;0.0597;0.9369;0.0034;Kinestetik
Nau*** Iqb** Alb*******;0.0002;0.0015;0.9984;Visual
Nau*** Iqb** Alb*******;0.0136;0.002;0.9844;Visual
Nau*** Iqb** Alb*******;0.008;0.221;0.771;Visual
Rev**** Kha*** Lub**;0.1379;0.771;0.0911;Kinestetik
Rev**** Kha*** Lub**;0.0896;0.8898;0.0206;Kinestetik
Rev**** Kha*** Lub**;0.0267;0.0592;0.914;Visual
Rev**** Kha*** Lub**;0.0687;0.1473;0.784;Visual
Rev**** Kha*** Lub**;0.0273;0.3596;0.613;Visual
Ris** Nur Mau*****;0.6288;0.3362;0.035;Auditori
Ris** Nur Mau*****;0.6288;0.3362;0.035;Auditori
Ris** Nur Mau*****;0.8207;0.0077;0.1716;Auditori
Ris** Nur Mau*****;0.4002;0.0138;0.586;Visual
Ris** Nur Mau*****;0.002;0.0055;0.9925;Visual
Sev** Sha*** Ann***;0.8861;0.0678;0.0462;Auditori
Sev** Sha*** Ann***;0.9672;0.0296;0.0032;Auditori
Sev** Sha*** Ann***;0.1148;0.0203;0.8649;Visual
Sev** Sha*** Ann***;0.0174;0.0286;0.954;Visual
Sev** Sha*** Ann***;0.008;0.0002;0.9917;Visual
Sha**** Man***** Put** Abi***;0.276;0.7005;0.0236;Kinestetik
Sha**** Man***** Put** Abi***;0.418;0.5727;0.0092;Kinestetik
Sha**** Man***** Put** Abi***;0.035;0.7648;0.2002;Kinestetik
Sha**** Man***** Put** Abi***;0.0924;0.0022;0.9054;Visual
Sha**** Man***** Put** Abi***;0.0033;0.0083;0.9884;Visual
Sya***** Aly* Dew*** Mar***;0.1442;0.3771;0.4786;Visual
Sya***** Aly* Dew*** Mar***;0.3059;0.4317;0.2623;Kinestetik
Sya***** Aly* Dew*** Mar***;0.0;0.0;0.9999;Visual
Sya***** Aly* Dew*** Mar***;0.0;0.0;1.0;Visual
Sya***** Aly* Dew*** Mar***;0.0001;0.0014;0.9985;Visual
Teg** Ang**** Ray*;0.0031;0.9968;0.0001;Kinestetik
Teg** Ang**** Ray*;0.0018;0.9977;0.0005;Kinestetik
Teg** Ang**** Ray*;0.0091;0.2438;0.7471;Visual
Teg** Ang**** Ray*;0.0003;0.4099;0.5898;Visual
Teg** Ang**** Ray*;0.0007;0.6795;0.3198;Kinestetik
Ufa*** Nur Afi**;0.0179;0.982;0.0001;Kinestetik
Ufa*** Nur Afi**;0.0765;0.9175;0.006;Kinestetik
Ufa*** Nur Afi**;0.0546;0.7347;0.2108;Kinestetik
Ufa*** Nur Afi**;0.0288;0.7703;0.2009;Kinestetik
Ufa*** Nur Afi**;0.0074;0.8859;0.1067;Kinestetik
Nab*** Zas*** Ain**;0.3961;0.2327;0.3713;Auditori
Nab*** Zas*** Ain**;0.4221;0.4404;0.1375;Kinestetik
Nab*** Zas*** Ain**;0.0003;0.0002;0.9995;Visual
Nab*** Zas*** Ain**;0.0045;0.0001;0.9954;Visual
Nab*** Zas*** Ain**;0.0012;0.0004;0.9984;Visual
Arm** Bri**** Sya******;0.0456;0.9506;0.0038;Kinestetik
Arm** Bri**** Sya******;0.0603;0.9334;0.0063;Kinestetik
Arm** Bri**** Sya******;0.0214;0.0534;0.9252;Visual
Arm** Bri**** Sya******;0.0214;0.0534;0.9252;Visual
Arm** Bri**** Sya******;0.0026;0.0398;0.9576;Visual
Ald** Raf******** Die**;0.0211;0.7452;0.2337;Kinestetik
Ald** Raf******** Die**;0.0148;0.9282;0.0569;Kinestetik
Ald** Raf******** Die**;0.0049;0.0658;0.9293;Visual
Ald** Raf******** Die**;0.0002;0.0012;0.9985;Visual
Ald** Raf******** Die**;0.0;0.0055;0.9945;Visual
Abi*** Ram***** Ari*** Lau***;0.8933;0.1066;0.0;Auditori
Abi*** Ram***** Ari*** Lau***;0.936;0.064;0.0;Auditori
Abi*** Ram***** Ari*** Lau***;0.7173;0.2671;0.0156;Auditori
Abi*** Ram***** Ari*** Lau***;0.9987;0.0012;0.0001;Auditori
Abi*** Ram***** Ari*** Lau***;0.9125;0.0572;0.0303;Auditori
Adh***** Nev** Ahz* Put**;0.0028;0.2534;0.7438;Visual
Adh***** Nev** Ahz* Put**;0.0175;0.9152;0.0673;Kinestetik
Adh***** Nev** Ahz* Put**;0.0;0.0;1.0;Visual
Adh***** Nev** Ahz* Put**;0.0015;0.0141;0.9843;Visual
Adh***** Nev** Ahz* Put**;0.0;0.2353;0.7647;Visual
Adi*** Riz** Pra****;0.0476;0.0301;0.9223;Visual
Adi*** Riz** Pra****;0.0476;0.0301;0.9223;Visual
Adi*** Riz** Pra****;0.0;0.0;1.0;Visual
Adi*** Riz** Pra****;0.0005;0.0;0.9995;Visual
Adi*** Riz** Pra****;0.001;0.0002;0.9988;Visual
Adr*** Run*** Abq***;0.0119;0.4311;0.557;Visual
Adr*** Run*** Abq***;0.2808;0.7145;0.0047;Kinestetik
Adr*** Run*** Abq***;0.02;0.205;0.775;Visual
Adr*** Run*** Abq***;0.02;0.205;0.775;Visual
Adr*** Run*** Abq***;0.0057;0.0571;0.9372;Visual
Afi** Sah** Mah***;0.1419;0.774;0.0841;Kinestetik
Afi** Sah** Mah***;0.1875;0.8059;0.0066;Kinestetik
Afi** Sah** Mah***;0.0018;0.4996;0.4986;Kinestetik
Afi** Sah** Mah***;0.0791;0.0018;0.9192;Visual
Afi** Sah** Mah***;0.0003;0.0006;0.9991;Visual
Agn*** Bel** Cho*******;0.2138;0.4479;0.3383;Kinestetik
Agn*** Bel** Cho*******;0.3642;0.6015;0.0343;Kinestetik
Agn*** Bel** Cho*******;0.0003;0.0034;0.9964;Visual
Agn*** Bel** Cho*******;0.0001;0.0008;0.9992;Visual
Agn*** Bel** Cho*******;0.0007;0.0008;0.9985;Visual
Ain**** Fat************;0.0156;0.7545;0.2299;Kinestetik
Ain**** Fat************;0.0736;0.9237;0.0027;Kinestetik
Ain**** Fat************;0.0003;0.1482;0.8515;Visual
Ain**** Fat************;0.0004;0.005;0.9946;Visual
Ain**** Fat************;0.0004;0.005;0.9946;Visual
Ais*** Nad** Akh***;0.5551;0.4379;0.0069;Auditori
Ais*** Nad** Akh***;0.761;0.2364;0.0025;Auditori
Ais*** Nad** Akh***;0.4162;0.0286;0.5552;Visual
Ais*** Nad** Akh***;0.0082;0.0035;0.9883;Visual
Ais*** Nad** Akh***;0.0085;0.0348;0.9566;Visual
Ais*** Nur Fas*** Kho********;0.0949;0.8509;0.0543;Kinestetik
Ais*** Nur Fas*** Kho********;0.016;0.9777;0.0063;Kinestetik
Ais*** Nur Fas*** Kho********;0.0001;0.0226;0.9774;Visual
Ais*** Nur Fas*** Kho********;0.0034;0.3612;0.6354;Visual
Ais*** Nur Fas*** Kho********;0.0133;0.0106;0.9761;Visual
Anj*** Sha**** Hum****;0.365;0.5557;0.0793;Kinestetik
Anj*** Sha**** Hum****;0.365;0.5557;0.0793;Kinestetik
Anj*** Sha**** Hum****;0.102;0.0403;0.8577;Visual
Anj*** Sha**** Hum****;0.1469;0.0144;0.8387;Visual
Anj*** Sha**** Hum****;0.002;0.0175;0.9805;Visual
Arj*** Abr**** Mub****;0.1501;0.7183;0.1315;Kinestetik
Arj*** Abr**** Mub****;0.5365;0.4168;0.0466;Auditori
Arj*** Abr**** Mub****;0.1743;0.3577;0.468;Visual
Arj*** Abr**** Mub****;0.0124;0.0007;0.9869;Visual
Arj*** Abr**** Mub****;0.027;0.0034;0.9696;Visual
Ath*** Mah****** Dwi H;0.1996;0.1734;0.627;Visual
Ath*** Mah****** Dwi H;0.8582;0.1404;0.0014;Auditori
Ath*** Mah****** Dwi H;0.0489;0.3779;0.5732;Visual
Ath*** Mah****** Dwi H;0.016;0.0001;0.984;Visual
Ath*** Mah****** Dwi H;0.0021;0.0004;0.9975;Visual
Azz* Nab*** Yus**;0.9524;0.0228;0.0248;Auditori
Azz* Nab*** Yus**;0.3017;0.0096;0.6887;Visual
Azz* Nab*** Yus**;0.0002;0.0001;0.9997;Visual
Azz* Nab*** Yus**;0.0023;0.0001;0.9977;Visual
Azz* Nab*** Yus**;0.0009;0.0002;0.9989;Visual
Azz**** Qur********** Fah****;0.0503;0.9044;0.0453;Kinestetik
Azz**** Qur********** Fah****;0.0914;0.8873;0.0213;Kinestetik
Azz**** Qur********** Fah****;0.0047;0.8903;0.105;Kinestetik
